Tue Sep 17 10:34:37 UTC 2013	2378200
Tue Sep 17 10:34:38 UTC 2013	2376712
Tue Sep 17 10:34:39 UTC 2013	2377332
Tue Sep 17 10:34:40 UTC 2013	2391592
Tue Sep 17 10:34:41 UTC 2013	2406348
Tue Sep 17 10:34:42 UTC 2013	2407092
Tue Sep 17 10:34:43 UTC 2013	2407836
Tue Sep 17 10:34:44 UTC 2013	2408588
Tue Sep 17 10:34:45 UTC 2013	2409324
Tue Sep 17 10:34:46 UTC 2013	2409820
Tue Sep 17 10:34:47 UTC 2013	2410300
Tue Sep 17 10:34:48 UTC 2013	2417748
Tue Sep 17 10:34:49 UTC 2013	2417832
Tue Sep 17 10:34:50 UTC 2013	2423264
Tue Sep 17 10:34:51 UTC 2013	2434532
Tue Sep 17 10:34:52 UTC 2013	2452016
Tue Sep 17 10:34:53 UTC 2013	2452876
Tue Sep 17 10:34:54 UTC 2013	2453728
Tue Sep 17 10:34:55 UTC 2013	2454464
Tue Sep 17 10:34:56 UTC 2013	2455456
Tue Sep 17 10:34:57 UTC 2013	2455828
Tue Sep 17 10:34:58 UTC 2013	2456572
Tue Sep 17 10:34:59 UTC 2013	2458804
Tue Sep 17 10:35:00 UTC 2013	2457316
Tue Sep 17 10:35:01 UTC 2013	2464012
Tue Sep 17 10:35:02 UTC 2013	2477660
Tue Sep 17 10:35:03 UTC 2013	2493656
Tue Sep 17 10:35:04 UTC 2013	2494524
Tue Sep 17 10:35:05 UTC 2013	2495268
Tue Sep 17 10:35:06 UTC 2013	2496012
Tue Sep 17 10:35:07 UTC 2013	2496508
Tue Sep 17 10:35:08 UTC 2013	2497368
Tue Sep 17 10:35:09 UTC 2013	2498236
Tue Sep 17 10:35:10 UTC 2013	2500096
Tue Sep 17 10:35:11 UTC 2013	2499848
Tue Sep 17 10:35:12 UTC 2013	2499840
Tue Sep 17 10:35:13 UTC 2013	2520424
Tue Sep 17 10:35:14 UTC 2013	2534436
Tue Sep 17 10:35:15 UTC 2013	2535180
Tue Sep 17 10:35:16 UTC 2013	2536296
Tue Sep 17 10:35:17 UTC 2013	2536916
Tue Sep 17 10:35:18 UTC 2013	2536916
